election_name;rule_abbreviation;property_short_name;value
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;inverted_cost_gini;0.6287233962242806
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;prop_pos_sat;0.9318665720369056
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;category_prop;0.9910810770244073
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;med_select_cost;29000.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;agg_nrmcost_sat;[0.06813342796309439, 0.17281760113555714, 0.2618878637331441, 0.23491838183108588, 0.149041873669269, 0.0858765081618169, 0.023066004258339247, 0.0042583392476933995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;avg_card_sat;4.523066004258334
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;avg_cost_sat;281283.34989354206
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;avg_nrmcard_sat;0.08868756871094773
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;avg_nrmcost_sat;0.10698284061524369
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;avg_relcard_sat;0.43163804297587094
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_card_uncompleted;avg_relcost_sat;0.17782504902456459
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;inverted_cost_gini;0.6407164313542449
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;prop_pos_sat;0.940028388928318
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;category_prop;0.9968695784845931
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;med_select_cost;29900.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;agg_nrmcost_sat;[0.05997161107168204, 0.09581263307310149, 0.11320085166784954, 0.11355571327182398, 0.13555713271823988, 0.1433640880056778, 0.12526614620298085, 0.1050390347764372, 0.058907026259758695, 0.036905606813342796, 0.0106458481192335, 0.0017743080198722497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;avg_card_sat;5.556068133427972
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;avg_cost_sat;509045.94748048275
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;avg_nrmcard_sat;0.1089425124201563
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;avg_nrmcost_sat;0.19360968747617474
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;avg_relcard_sat;0.5255473875150968
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt;avg_relcost_sat;0.28130573380956475
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;inverted_cost_gini;0.6030291563020438
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;prop_pos_sat;0.9389638041163946
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;category_prop;0.9977102564304091
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;med_select_cost;30000.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;agg_nrmcost_sat;[0.06103619588360539, 0.10113555713271824, 0.11781405251951739, 0.11284599006387509, 0.10042583392476934, 0.10965223562810504, 0.10610361958836054, 0.0830376153300213, 0.07913413768630234, 0.05003548616039744, 0.037970191625266145, 0.023775727466288147, 0.01171043293115685, 0.0046132008516678496, 0.0007097232079489, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;avg_card_sat;5.413413768630229
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;avg_cost_sat;566470.9858055367
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;avg_nrmcard_sat;0.10614536801235744
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;avg_nrmcost_sat;0.21545063086930005
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;avg_relcard_sat;0.5125440022086569
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_greedy;avg_relcost_sat;0.2963631951457676
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;inverted_cost_gini;0.6159248499262929
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;prop_pos_sat;0.9286728176011355
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;category_prop;0.9958201095190257
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;med_select_cost;28800.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;agg_nrmcost_sat;[0.07132718239886444, 0.1327182398864443, 0.17494677075940382, 0.17210787792760823, 0.16643009226401703, 0.13023420865862315, 0.08339247693399574, 0.052164655784244146, 0.014549325762952448, 0.0021291696238466998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;avg_card_sat;4.579843860894236
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;avg_cost_sat;375280.865862314
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;avg_nrmcard_sat;0.08980086001753404
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;avg_nrmcost_sat;0.14273369921715492
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;avg_relcard_sat;0.435073568297486
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_sqrt_uncompleted;avg_relcost_sat;0.2130526629202319
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;inverted_cost_gini;0.6340310791561798
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;prop_pos_sat;0.939318665720369
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;category_prop;0.9940874499598178
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;med_select_cost;30000.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;agg_nrmcost_sat;[0.06068133427963095, 0.10042583392476934, 0.1320085166784954, 0.14442867281760113, 0.15507452093683463, 0.13236337828246983, 0.11284599006387509, 0.08623136976579134, 0.049680624556423, 0.023066004258339247, 0.00319375443577005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;avg_card_sat;5.59936124911285
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;avg_cost_sat;463612.838892832
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;avg_nrmcard_sat;0.10979139704142844
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;avg_nrmcost_sat;0.17632973465803856
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;avg_relcard_sat;0.5270172704434566
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";seq_phragmen;avg_relcost_sat;0.2625559117186
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;inverted_cost_gini;0.6786854742256336
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;prop_pos_sat;0.9348264729620662
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;category_prop;0.9952616484694139
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;med_select_cost;60000.0
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;agg_nrmcost_sat;[0.06517352703793382, 0.0841404358353511, 0.11117836965294592, 0.1549636803874092, 0.21246973365617433, 0.20520581113801453, 0.11198547215496368, 0.042776432606941084, 0.010492332526230832, 0.0016142050040355124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;avg_card_sat;7.55225988700564
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;avg_cost_sat;852011.2542372891
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;avg_nrmcard_sat;0.1127202968209797
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;avg_nrmcost_sat;0.16201835199415698
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;avg_relcard_sat;0.6286844360240242
"Warszawa, Bielany, Bielany, 2022-06";greedy_card;avg_relcost_sat;0.3298385372246706
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;inverted_cost_gini;0.5880344514112414
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;prop_pos_sat;0.8787328490718321
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;category_prop;0.9940686681842917
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;med_select_cost;157500.0
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;agg_nrmcost_sat;[0.12126715092816788, 0.06759483454398708, 0.06820016142050041, 0.08151735270379339, 0.09261501210653753, 0.10129136400322841, 0.10552865213882164, 0.08454398708635996, 0.0764729620661824, 0.0692090395480226, 0.05004035512510089, 0.03652138821630347, 0.020984665052461663, 0.014326069410815174, 0.007465698143664245, 0.0016142050040355124, 0.0008071025020177562, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;avg_card_sat;4.292978208232446
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;avg_cost_sat;1265546.6089588378
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;avg_nrmcard_sat;0.06407430161540964
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;avg_nrmcost_sat;0.2406561825745551
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;avg_relcard_sat;0.3492722516027591
"Warszawa, Bielany, Bielany, 2022-06";greedy_cost;avg_relcost_sat;0.4055196304139958
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;inverted_cost_gini;0.672018382401282
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;prop_pos_sat;0.9806295399515739
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;category_prop;0.984058420795203
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;med_select_cost;57400.0
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;agg_nrmcost_sat;[0.01937046004842615, 0.12247780468119451, 0.2257869249394673, 0.27340597255851495, 0.17756255044390637, 0.10129136400322841, 0.051452784503631964, 0.01957223567393059, 0.007465698143664245, 0.0010088781275221952, 0.0004035512510088781, 0.00020177562550443906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;avg_card_sat;5.753228410008072
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;avg_cost_sat;692941.1208635996
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;avg_nrmcard_sat;0.08586908074638913
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;avg_nrmcost_sat;0.13176959561620633
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;avg_relcard_sat;0.5328609893379876
"Warszawa, Bielany, Bielany, 2022-06";greedy_cc;avg_relcost_sat;0.3046171367978828
"Warszawa, Bielany, Bielany, 2022-06";max_card;inverted_cost_gini;0.6713333910131545
"Warszawa, Bielany, Bielany, 2022-06";max_card;prop_pos_sat;0.933817594834544
"Warszawa, Bielany, Bielany, 2022-06";max_card;category_prop;0.9914859314424102
"Warszawa, Bielany, Bielany, 2022-06";max_card;med_select_cost;60000.0
